"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"14.05.2024","3.367,72","3.376,50","3.383,07","3.367,35","","-0,26%"
"13.05.2024","3.376,50","3.397,79","3.397,79","3.374,87","","-0,63%"
"10.05.2024","3.397,79","3.389,27","3.398,25","3.389,27","","0,25%"
"09.05.2024","3.389,27","3.398,11","3.399,32","3.388,54","","-0,26%"
"08.05.2024","3.398,10","3.394,55","3.398,66","3.392,74","","0,11%"
"07.05.2024","3.394,53","3.392,61","3.395,84","3.390,42","","0,06%"
"06.05.2024","3.392,61","3.391,61","3.393,11","3.388,62","","0,03%"
"03.05.2024","3.391,61","3.376,40","3.392,94","3.376,40","","0,45%"
"02.05.2024","3.376,40","3.381,79","3.387,01","3.372,94","","-0,16%"
"30.04.2024","3.381,79","3.374,93","3.382,49","3.374,93","","0,20%"
"29.04.2024","3.374,93","3.366,74","3.374,93","3.364,97","","0,24%"
"26.04.2024","3.366,74","3.360,86","3.372,32","3.360,86","","0,17%"
"25.04.2024","3.360,86","3.365,41","3.367,04","3.359,49","","-0,14%"
"24.04.2024","3.365,41","3.373,25","3.375,50","3.363,71","","-0,23%"
"23.04.2024","3.373,24","3.380,00","3.382,92","3.370,20","","-0,20%"
"22.04.2024","3.380,00","3.391,17","3.391,20","3.379,64","","-0,33%"
"19.04.2024","3.391,17","3.386,79","3.392,50","3.383,43","","0,13%"
"18.04.2024","3.386,78","3.391,31","3.394,10","3.382,27","","-0,13%"
"17.04.2024","3.391,31","3.402,58","3.405,05","3.390,80","","-0,33%"
"16.04.2024","3.402,52","3.412,68","3.415,12","3.398,17","","-0,30%"
"15.04.2024","3.412,68","3.423,95","3.424,26","3.412,68","","-0,33%"
"12.04.2024","3.423,95","3.417,57","3.426,52","3.417,57","","0,19%"
"11.04.2024","3.417,57","3.418,45","3.420,82","3.415,41","","-0,03%"
"10.04.2024","3.418,43","3.420,76","3.424,13","3.415,75","","-0,07%"
"09.04.2024","3.420,76","3.421,87","3.423,72","3.420,76","","-0,03%"
"08.04.2024","3.421,87","3.422,03","3.424,04","3.417,52","","-0,01%"
"05.04.2024","3.422,18","3.414,28","3.422,36","3.414,28","","0,23%"
"04.04.2024","3.414,28","3.412,02","3.415,44","3.411,22","","0,07%"
"03.04.2024","3.412,02","3.406,58","3.414,50","3.406,58","","0,16%"
"02.04.2024","3.406,57","3.403,40","3.411,04","3.403,06","","0,09%"
"01.04.2024","3.403,41","3.408,16","3.411,29","3.398,66","","-0,14%"
"28.03.2024","3.408,15","3.395,41","3.409,45","3.395,41","","0,38%"
"27.03.2024","3.395,41","3.392,24","3.397,61","3.392,24","","0,09%"
"26.03.2024","3.392,25","3.390,05","3.395,00","3.390,05","","0,06%"
"25.03.2024","3.390,05","3.393,17","3.394,00","3.389,16","","-0,09%"
"22.03.2024","3.393,14","3.381,26","3.393,23","3.381,26","","0,35%"
"21.03.2024","3.381,26","3.378,24","3.382,45","3.377,38","","0,09%"
"20.03.2024","3.378,25","3.373,66","3.379,39","3.373,66","","0,14%"
"19.03.2024","3.373,64","3.374,00","3.381,08","3.371,43","","-0,01%"
"18.03.2024","3.374,01","3.367,03","3.378,13","3.367,03","","0,21%"
"15.03.2024","3.367,01","3.365,68","3.381,82","3.365,68","","0,04%"
"14.03.2024","3.365,68","3.367,43","3.368,72","3.363,35","","-0,05%"
"13.03.2024","3.367,44","3.368,77","3.372,88","3.366,15","","-0,04%"
"12.03.2024","3.368,76","3.374,47","3.376,78","3.367,57","","-0,17%"
"11.03.2024","3.374,45","3.382,28","3.382,82","3.371,55","","-0,23%"
"08.03.2024","3.382,28","3.371,76","3.383,66","3.371,76","","0,31%"
